Date,Close/Last,Volume,Open,High,Low
09/03/2021,$154.3,57866070,$153.76,$154.63,$153.09
09/02/2021,$153.65,71171320,$153.87,$154.72,$152.4
09/01/2021,$152.51,80313710,$152.83,$154.98,$152.34
08/31/2021,$151.83,86453120,$152.66,$152.8,$151.29
08/30/2021,$153.12,90956720,$149,$153.49,$148.61
08/27/2021,$148.6,55802390,$147.48,$148.75,$146.83
08/26/2021,$147.54,48597200,$148.35,$149.12,$147.51
08/25/2021,$148.36,58991300,$149.81,$150.32,$147.8
08/24/2021,$149.62,48606430,$149.45,$150.86,$149.15
08/23/2021,$149.71,60131810,$148.31,$150.19,$147.89
08/20/2021,$148.19,60549630,$147.44,$148.5,$146.78
08/19/2021,$146.7,86960310,$145.03,$148,$144.5
08/18/2021,$146.36,86325990,$149.8,$150.72,$146.15
08/17/2021,$150.19,92229740,$150.23,$151.68,$149.09
08/16/2021,$151.12,103558800,$148.535,$151.19,$146.47
08/13/2021,$149.1,59375010,$148.97,$149.4444,$148.27
08/12/2021,$148.89,73779110,$146.19,$149.05,$145.84
08/11/2021,$145.86,48493460,$146.05,$146.72,$145.53
08/10/2021,$145.6,69023080,$146.44,$147.71,$145.3
08/09/2021,$146.09,48908690,$146.2,$146.7,$145.52
08/06/2021,$146.14,54126810,$146.35,$147.11,$145.63
08/05/2021,$147.06,46397670,$146.98,$147.84,$146.17
08/04/2021,$146.95,56368270,$147.27,$147.79,$146.28
08/03/2021,$147.36,64786620,$145.81,$148.045,$145.18
08/02/2021,$145.52,62879960,$146.36,$146.95,$145.25
07/30/2021,$145.86,70440630,$144.38,$146.33,$144.11
07/29/2021,$145.64,56699480,$144.685,$146.55,$144.58
07/28/2021,$144.98,118931200,$144.81,$146.97,$142.54
07/27/2021,$146.77,104818600,$149.12,$149.21,$145.55
07/26/2021,$148.99,72434090,$148.27,$149.83,$147.7
07/23/2021,$148.56,71447420,$147.55,$148.7177,$146.92
07/22/2021,$146.8,77338160,$145.935,$148.195,$145.81
07/21/2021,$145.4,74993460,$145.53,$146.13,$144.63
07/20/2021,$146.15,96350040,$143.46,$147.0997,$142.96
07/19/2021,$142.45,121434600,$143.75,$144.07,$141.67
07/16/2021,$146.39,93251430,$148.46,$149.76,$145.88
07/15/2021,$148.48,106820300,$149.24,$150,$147.09
07/14/2021,$149.15,127050800,$148.1,$149.57,$147.68
07/13/2021,$145.64,100827100,$144.03,$147.46,$143.63
07/12/2021,$144.5,76299720,$146.21,$146.32,$144
07/09/2021,$145.11,99890800,$142.75,$145.65,$142.6522
07/08/2021,$143.24,105575500,$141.58,$144.06,$140.665
07/07/2021,$144.57,104911600,$143.535,$144.89,$142.66
07/06/2021,$142.02,108181800,$140.07,$143.15,$140.07
07/02/2021,$139.96,78945570,$137.9,$140,$137.745
07/01/2021,$137.27,52485780,$136.6,$137.33,$135.76
06/30/2021,$136.96,63261390,$136.17,$137.41,$135.87
06/29/2021,$136.33,64556080,$134.8,$136.49,$134.35
06/28/2021,$134.78,62111300,$133.41,$135.245,$133.35
06/25/2021,$133.11,70783750,$133.46,$133.89,$132.81
06/24/2021,$133.41,68711000,$134.45,$134.64,$132.93
06/23/2021,$133.7,60214200,$133.77,$134.32,$133.23
06/22/2021,$133.98,74783620,$132.13,$134.08,$131.62
06/21/2021,$132.3,79663320,$130.3,$132.41,$129.21
06/18/2021,$130.46,108953300,$130.71,$131.51,$130.24
06/17/2021,$131.79,96721670,$129.8,$132.55,$129.65
06/16/2021,$130.15,91815030,$130.37,$130.89,$128.461
06/15/2021,$129.64,62746330,$129.94,$130.6,$129.39
06/14/2021,$130.48,96906490,$127.82,$130.54,$127.07
06/11/2021,$127.35,53522370,$126.53,$127.44,$126.1
06/10/2021,$126.11,71186420,$127.02,$128.19,$125.94
06/09/2021,$127.13,56877940,$127.21,$127.75,$126.52
06/08/2021,$126.74,74403770,$126.6,$128.46,$126.2101
06/07/2021,$125.9,71057550,$126.17,$126.32,$124.8321
06/04/2021,$125.89,75169340,$124.07,$126.16,$123.85
06/03/2021,$123.54,76229170,$124.68,$124.85,$123.13
06/02/2021,$125.06,59278860,$124.28,$125.24,$124.05
06/01/2021,$124.28,67637120,$125.08,$125.35,$123.94
05/28/2021,$124.61,71311110,$125.57,$125.8,$124.55
