Date,Close/Last,Volume,Open,High,Low
09/03/2021,$3478.05,2578324,$3452,$3482.67,$3436.44
09/02/2021,$3463.12,2925594,$3494.76,$3511.9608,$3455
09/01/2021,$3479,3629911,$3496.396,$3527,$3475.24
08/31/2021,$3470.79,4356413,$3424.8,$3472.58,$3395.59
08/30/2021,$3421.57,3192244,$3357.425,$3445,$3355.22
08/27/2021,$3349.63,2402369,$3333.23,$3352.32,$3313.75
08/26/2021,$3316,2098761,$3299,$3332,$3296
08/25/2021,$3299.18,1680306,$3309.87,$3321,$3286.15
08/24/2021,$3305.78,2551841,$3280,$3315.4942,$3274.58
08/23/2021,$3265.87,3268131,$3211.9,$3280.9,$3210.005
08/20/2021,$3199.95,3358428,$3203.873,$3207.81,$3175.76
08/19/2021,$3187.75,3782862,$3194.02,$3233,$3182.4637
08/18/2021,$3201.22,2804311,$3241.99,$3254.0975,$3200
08/17/2021,$3241.96,3387922,$3277.5,$3280.49,$3225.68
08/16/2021,$3298.99,3328494,$3283,$3300,$3211.13
08/13/2021,$3293.97,2056699,$3305.67,$3306.065,$3283
08/12/2021,$3303.5,2323823,$3290,$3314.51,$3269.67
08/11/2021,$3292.11,2947249,$3331.447,$3337.7,$3277.79
08/10/2021,$3320.68,2412551,$3345.01,$3358,$3315
08/09/2021,$3341.87,2148220,$3343.61,$3354.88,$3328.52
08/06/2021,$3344.94,2637644,$3375,$3375,$3329.0373
08/05/2021,$3375.99,2433503,$3356.22,$3389,$3340.92
08/04/2021,$3354.72,2183945,$3379.35,$3388.88,$3345.56
08/03/2021,$3366.24,4157343,$3340.72,$3391,$3299.77
08/02/2021,$3331.48,3353915,$3353.1,$3358.92,$3317
07/30/2021,$3327.59,9965593,$3347.95,$3368.14,$3306.98
07/29/2021,$3599.92,5519952,$3627.75,$3637.95,$3580.01
07/28/2021,$3630.32,2999378,$3633.78,$3658.4204,$3601
07/27/2021,$3626.39,4131890,$3698.5,$3698.5,$3586.15
07/26/2021,$3699.82,2900068,$3673.17,$3712.08,$3647.25
07/23/2021,$3656.64,2436292,$3640,$3666.11,$3622.04
07/22/2021,$3638.03,3265352,$3587.23,$3640.02,$3582.27
07/21/2021,$3585.2,2318989,$3576.375,$3586.45,$3543.6415
07/20/2021,$3573.19,3255680,$3567.32,$3592,$3518
07/19/2021,$3549.59,3784595,$3532.58,$3550.21,$3499.16
07/16/2021,$3573.63,4043706,$3633.31,$3646.0599,$3570.455
07/15/2021,$3631.2,3185292,$3694.2,$3695.4,$3620.92
07/14/2021,$3681.68,3296568,$3708.85,$3717.66,$3660.8266
07/13/2021,$3677.36,3845917,$3702.1,$3773.0782,$3671.32
07/12/2021,$3718.55,2571635,$3744,$3757.2899,$3696.7929
07/09/2021,$3719.34,3748237,$3722.52,$3748,$3693.3968
07/08/2021,$3731.41,5180623,$3643.56,$3759.9855,$3621.12
07/07/2021,$3696.58,5328062,$3717.377,$3734.2,$3678.91
07/06/2021,$3675.74,6744768,$3530.11,$3685.48,$3529
07/02/2021,$3510.98,3176697,$3451.64,$3511.72,$3436.92
