Date,Close/Last,Volume,Open,High,Low
09/03/2021,$376.26,7511356,$374.75,$377.16,$373.11
09/02/2021,$375.28,14838270,$381.5,$381.75,$374.06
09/01/2021,$382.05,11567160,$379.59,$384.33,$378.81
08/31/2021,$379.38,12345350,$379.95,$382.759,$378.8
08/30/2021,$380.66,13547260,$372.56,$381.49,$370.52
08/27/2021,$372.63,11219140,$365.1,$373.74,$364.08
08/26/2021,$364.38,7888683,$368.375,$369.44,$364.13
08/25/2021,$368.39,9684519,$365.6,$370.86,$365.4
08/24/2021,$365.51,9235148,$363.66,$367.9559,$361.84
08/23/2021,$363.35,10942010,$359.44,$365.69,$359.1
08/20/2021,$359.37,8697667,$354.6,$359.9898,$353.31
08/19/2021,$355.12,12004540,$351.345,$357.57,$351
08/18/2021,$355.45,10042380,$356.25,$359.86,$355.15
08/17/2021,$358.45,12328740,$362.98,$364.67,$355.07
08/16/2021,$366.56,11232270,$362.52,$366.95,$357.38
08/13/2021,$363.18,7195724,$362.97,$364.6607,$361.48
08/12/2021,$362.65,7175206,$358.45,$363,$357.11
08/11/2021,$359.96,8400332,$362.1,$362.36,$357.81
08/10/2021,$361.13,7469878,$361.825,$364.1,$359.0435
08/09/2021,$361.61,7798872,$363.762,$365.775,$360.75
08/06/2021,$363.51,8925017,$361.4,$365.15,$361.395
08/05/2021,$362.97,10247210,$359.64,$363.9,$356.9
08/04/2021,$358.92,14180570,$352.42,$360.48,$351.51
08/03/2021,$351.24,12406050,$352.73,$353.7699,$347.7
08/02/2021,$351.95,13180440,$358.1,$359.4,$350.74
07/30/2021,$356.3,15976180,$354,$360.73,$352.94
07/29/2021,$358.32,33413240,$361,$365.52,$356.74
07/28/2021,$373.28,29676910,$374.56,$377.5499,$366.93
07/27/2021,$367.81,15705450,$371.91,$373.15,$364.55
07/26/2021,$372.46,14925220,$369.58,$374.44,$368.22
07/23/2021,$369.79,33694330,$360.91,$375.33,$357.19
07/22/2021,$351.19,12385440,$346.68,$351.54,$345.21
07/21/2021,$346.23,9279657,$341.5,$346.52,$341.25
07/20/2021,$341.66,11024280,$338.8,$343.45,$334.5
07/19/2021,$336.95,14372350,$337.57,$339.79,$334.54
07/16/2021,$341.16,11026090,$344.91,$345.9899,$340.14
07/15/2021,$344.46,14781590,$349.2348,$349.2348,$340.22
07/14/2021,$347.63,13894220,$354.56,$355.2,$346.73
07/13/2021,$352.09,11455960,$351.5,$358.49,$348.8
07/12/2021,$353.16,10018620,$351.23,$354.19,$349.64
07/09/2021,$350.42,13018690,$345.32,$350.71,$345.265
07/08/2021,$345.65,14406460,$345.73,$348.33,$342.56
07/07/2021,$350.49,14218870,$355.26,$356.49,$350
07/06/2021,$352.78,13488460,$356.5,$358.79,$349.18
07/02/2021,$354.7,11524610,$355.1,$356.44,$352.62
07/01/2021,$354.39,17137020,$346.82,$354.6699,$346.5
06/30/2021,$347.71,15107510,$352.165,$352.92,$347.17
06/29/2021,$351.89,21417310,$356.27,$356.74,$349.05
06/28/2021,$355.64,29156130,$342.46,$358.14,$341.77
06/25/2021,$341.37,14594440,$342.59,$344.12,$339.68
06/24/2021,$343.18,12329100,$341.85,$344.9,$341.79
06/23/2021,$340.59,14817820,$339.35,$343.4199,$338.2
06/22/2021,$339.03,15345300,$332.685,$339.92,$332.6
06/21/2021,$332.29,11337520,$331.09,$332.92,$327.65
06/18/2021,$329.66,23039460,$334.53,$336.15,$329
06/17/2021,$336.51,17794080,$330.49,$337.98,$330.15
06/16/2021,$331.08,17232160,$336.695,$337.55,$328.72
06/15/2021,$336.75,15795230,$336.99,$339.92,$335.03
06/14/2021,$336.77,12250800,$331.9,$336.82,$329.81
06/11/2021,$331.26,13587920,$332.58,$332.83,$328.93
06/10/2021,$332.46,13240230,$330.785,$333.94,$328.545
06/09/2021,$330.25,13727950,$335.74,$336.8,$330
06/08/2021,$333.68,14580460,$336.7,$338.2999,$332.24
06/07/2021,$336.58,20136710,$329.48,$337.69,$328.93
06/04/2021,$330.35,13289380,$325.9,$332.455,$325.18
06/03/2021,$326.04,12610790,$325.78,$327.375,$323.48
06/02/2021,$329.15,11654280,$330.38,$331.87,$327.1215
06/01/2021,$329.13,11765910,$330.15,$331.42,$326.64
05/28/2021,$328.73,12037430,$331,$332.8684,$328.33
05/27/2021,$332.75,20477730,$328,$333.78,$326.76
05/26/2021,$327.66,9686917,$328.35,$329.8299,$325.82
05/25/2021,$327.79,16436970,$327.08,$329.18,$324.8
05/24/2021,$324.63,16445360,$318.21,$325.95,$318.03
05/21/2021,$316.23,13600900,$319.29,$319.93,$315.8101
05/20/2021,$318.61,17320240,$313.58,$319.25,$313.16
05/19/2021,$313.59,19106240,$304.185,$314.66,$303.57
05/18/2021,$309.96,14522400,$315.59,$316.5,$309.81
05/17/2021,$315.46,15371050,$313.55,$315.68,$311.58
05/14/2021,$315.94,19245720,$309.54,$316.85,$309.08
05/13/2021,$305.26,18079160,$306.0833,$308.86,$302.7701
05/12/2021,$302.55,24641010,$301.13,$304.96,$298.19
05/11/2021,$306.53,18920090,$300.75,$306.84,$299.69
05/10/2021,$305.97,24239170,$314.35,$314.5786,$304.83
05/07/2021,$319.08,15916740,$322.38,$322.935,$318.75
05/06/2021,$320.02,19012240,$314.52,$320.24,$313.275
05/05/2021,$315.02,15577610,$318.19,$321.06,$314.49
05/04/2021,$318.36,24032560,$320.025,$322.19,$313.12
05/03/2021,$322.58,18719460,$326.17,$328.55,$321.84
04/30/2021,$325.08,26332420,$326.144,$329.82,$324.5
04/29/2021,$329.51,56526770,$330.12,$331.81,$321.61
04/28/2021,$307.1,33907210,$307.36,$310.92,$305.37
04/27/2021,$303.57,15309260,$304.28,$305.34,$301.11
04/26/2021,$303.04,16172590,$303.34,$305.8,$301.56
04/23/2021,$301.13,17559500,$298.76,$302.59,$297.15
04/22/2021,$296.52,16375350,$301.33,$302.92,$296.04
04/21/2021,$301.47,14863470,$301.945,$301.98,$297.39
04/20/2021,$302.65,16796440,$301.99,$305.1,$297.21
04/19/2021,$302.24,14553510,$305.007,$307.7,$300.56
04/16/2021,$306.18,13059160,$308.17,$308.95,$304.61
04/15/2021,$307.82,14558270,$306.34,$310.14,$304.1
04/14/2021,$302.82,17421390,$307.3,$308.03,$301.95
04/13/2021,$309.76,14036930,$312.21,$314.428,$309.32
04/12/2021,$311.54,10881940,$311.05,$312.15,$307.93
04/09/2021,$312.46,15988570,$311.4,$314.74,$310.33
04/08/2021,$313.02,20894150,$314.85,$315.88,$310.05
04/07/2021,$313.09,22855240,$306.34,$314.25,$305.5
04/06/2021,$306.26,17335250,$308.837,$311.35,$305.25
04/05/2021,$308.91,28237010,$300.89,$310.765,$300.68
04/01/2021,$298.66,17615980,$298.4,$302.4,$296.6
03/31/2021,$294.53,19498160,$289.99,$296.5,$288.61
03/30/2021,$288,17474540,$289.83,$292.47,$286.7
03/29/2021,$290.82,21718830,$285.77,$293.18,$284.7
03/26/2021,$283.02,17629190,$278.302,$284.5,$277.77
03/25/2021,$278.74,24505650,$280.98,$288.06,$277.75
03/24/2021,$282.14,18675050,$291,$291.72,$281.16
03/23/2021,$290.63,23000930,$293.15,$298,$289.81
03/22/2021,$293.54,28273070,$290.45,$299.705,$286.7501
03/19/2021,$290.11,38930540,$281.22,$292.8,$281.195
03/18/2021,$278.62,18754850,$279.87,$285.1899,$278.28
03/17/2021,$284.01,21315040,$275.705,$286.23,$275.41
03/16/2021,$279.28,22437670,$276.085,$282.14,$274.8
03/15/2021,$273.75,16856750,$269.08,$275.96,$268.5
03/12/2021,$268.4,20600200,$269.14,$269.74,$264.02
03/11/2021,$273.88,21833980,$268.11,$277.9,$267.82
03/10/2021,$264.9,14210320,$268.64,$268.97,$262.87
03/09/2021,$265.74,22039740,$261.175,$268.53,$259.81
03/08/2021,$255.31,18391770,$265.55,$265.58,$255.05
03/05/2021,$264.28,26820060,$260.67,$265.45,$255.61
03/04/2021,$257.64,31626460,$256.47,$266.49,$253.5
03/03/2021,$255.41,15513520,$260.29,$260.9899,$255.1
03/02/2021,$259,15191720,$265.78,$266.71,$258.65
03/01/2021,$264.91,22157260,$260.82,$266.65,$257.9039
02/26/2021,$257.62,26619520,$256.47,$265.55,$256.47
02/25/2021,$254.69,19053140,$262.3,$266.94,$254.04
02/24/2021,$264.31,15736120,$262.325,$266.38,$258.39
02/23/2021,$265.855,21924560,$259.5,$267.46,$254.96
02/22/2021,$260.33,17434870,$257.95,$263.07,$257.53
02/19/2021,$261.56,25622590,$269.86,$270.27,$260.15
02/18/2021,$269.39,15249130,$269.565,$271.95,$266.03
02/17/2021,$273.57,12763240,$271.24,$273.97,$269.58
02/16/2021,$273.97,15417240,$270.8,$276.6,$270.05
02/12/2021,$270.5,9097597,$270.52,$271.18,$268.34
02/11/2021,$270.39,12828570,$271.89,$273.58,$268.49
02/10/2021,$271.87,14687150,$272.4465,$273.7999,$267.72
02/09/2021,$269.45,14613380,$266.44,$273.39,$265.75
02/08/2021,$266.58,13755190,$268.75,$269.86,$265
02/05/2021,$268.1,12454370,$266.8,$269.17,$265.67
02/04/2021,$266.49,16059960,$267.01,$268.16,$264
02/03/2021,$266.65,14223380,$265.62,$269.2,$263.84
02/02/2021,$267.08,17320790,$264,$268.85,$263.27
02/01/2021,$262.01,22914260,$259.52,$264.17,$254.91
01/29/2021,$258.33,30389500,$265.3,$266.56,$254.85
01/28/2021,$265,37758840,$277.18,$286.79,$264.7
01/27/2021,$272.14,35346190,$282.53,$283.45,$268.1201
01/26/2021,$282.05,19373640,$278.14,$285.39,$277.81
01/25/2021,$278.01,19086990,$278.14,$280.1,$271.51
01/22/2021,$274.5,21954040,$272.01,$278.47,$272
01/21/2021,$272.87,20838690,$269.26,$273.6,$267.4901
01/20/2021,$267.48,25199920,$268.93,$270.32,$263.6
01/19/2021,$261.1,28028550,$256.9,$262.2,$252.7201
01/15/2021,$251.36,24942930,$247.9,$253.86,$247.16
01/14/2021,$245.64,29739400,$253.4,$255.03,$244.61
01/13/2021,$251.64,19528940,$251.55,$253.95,$249.2
01/12/2021,$251.09,26449940,$256.63,$259.72,$250.3
01/11/2021,$256.84,30412290,$260.48,$263.47,$255.9
01/08/2021,$267.57,18528250,$268.31,$268.95,$263.18
01/07/2021,$268.74,15789760,$265.9,$271.61,$264.78
01/06/2021,$263.31,24354150,$262,$267.75,$260.01
01/05/2021,$270.97,9871557,$268.29,$272.4,$268.2111
01/04/2021,$268.94,15106110,$274.78,$275,$265.2
12/31/2020,$273.16,12900410,$272,$277.09,$269.81
12/30/2020,$271.87,11803800,$277.95,$278.08,$271.71
12/29/2020,$276.78,16383000,$276.95,$280.51,$276.28
12/28/2020,$277,23299710,$268.74,$277.3,$265.66
12/24/2020,$267.4,6702033,$268.875,$270.4,$266.2
12/23/2020,$268.11,14329040,$266.89,$272.1699,$266.23
12/22/2020,$267.09,17335000,$271.5,$271.5,$264.63
12/21/2020,$272.79,16553740,$272.978,$274.67,$267.79
12/18/2020,$276.4,26693250,$275.775,$278,$271.14
12/17/2020,$274.48,16377840,$277.07,$280.44,$273.61
12/16/2020,$275.67,15885000,$274.76,$277.86,$272.51
12/15/2020,$275.55,23979460,$274.83,$276.08,$267.47
12/14/2020,$274.19,16376880,$273.372,$277.22,$271.56
12/11/2020,$273.55,14391400,$274.53,$276.48,$270.25
12/10/2020,$277.12,20065090,$275.535,$278.73,$271.86
12/09/2020,$277.92,25189710,$283.66,$287.63,$271.75
12/08/2020,$283.4,10747650,$286.01,$286.4272,$281.55
12/07/2020,$285.58,13007670,$279.19,$288.49,$278.2
12/04/2020,$279.7,10880300,$280.3,$283.46,$279.3
12/03/2020,$281.85,12921690,$286.25,$286.65,$281.07
12/02/2020,$287.52,17361620,$285.36,$291.78,$280.825
12/01/2020,$286.55,20777910,$279.16,$289.3,$278.96
11/30/2020,$276.97,16693340,$276.03,$277.7,$271.01
11/27/2020,$277.81,7808426,$277.39,$279.13,$274.82
11/25/2020,$275.59,12467010,$278.14,$280.18,$272.65
11/24/2020,$276.92,16930420,$268.49,$277.8199,$267.87
11/23/2020,$268.43,20990790,$270.89,$270.9471,$264.53
11/20/2020,$269.7,18122410,$272.56,$273,$269.41
11/19/2020,$272.94,12963660,$271.025,$273.47,$269.19
11/18/2020,$271.97,12152950,$274.52,$277.3889,$271.84
11/17/2020,$275,15040300,$277.68,$277.68,$273.29
11/16/2020,$278.96,12970350,$275.05,$279.41,$274.63
11/13/2020,$276.95,10400100,$277.72,$277.76,$273.1
11/12/2020,$275.08,12914210,$277.18,$279.75,$274.43
11/11/2020,$276.48,14956950,$273.47,$278.4,$272.48
11/10/2020,$272.43,29067690,$273.1,$274,$264
11/09/2020,$278.77,25117650,$289.87,$292.58,$278.53
11/06/2020,$293.41,13890970,$293.95,$294.6,$288.06
11/05/2020,$294.68,23823630,$291.897,$297.38,$288.95
11/04/2020,$287.38,35364420,$281,$288.94,$278.62
11/03/2020,$265.3,17961860,$263.16,$270.05,$260.88
11/02/2020,$261.36,27165680,$264.6,$270.47,$257.34
10/30/2020,$263.11,47299000,$274.5,$276.7,$259.1
10/29/2020,$280.83,32368120,$276.55,$283.6,$273.78
10/28/2020,$267.67,23121810,$278.79,$278.79,$267.26
10/27/2020,$283.29,16287250,$278.76,$284.51,$276.31
10/26/2020,$277.11,21322930,$283.16,$285.23,$274.26
10/23/2020,$284.79,17535160,$278.802,$285.24,$276.82
10/22/2020,$278.12,16720030,$279.87,$282.45,$275.04
10/21/2020,$278.73,28998640,$279.56,$283.05,$276.37
10/20/2020,$267.56,18763250,$263.06,$269.7,$262.88
10/19/2020,$261.4,13586960,$265.53,$268.55,$259.88
10/16/2020,$265.93,16622700,$267.375,$271.37,$265.3
10/15/2020,$266.72,15416060,$267.6,$269.04,$263.67
10/14/2020,$271.82,15601150,$277.62,$278.75,$271.5
10/13/2020,$276.14,18063340,$277.58,$279.1,$273.39
10/12/2020,$275.75,31019260,$270.2,$280.18,$267.87
10/09/2020,$264.45,14107800,$264.52,$264.75,$262.17
10/08/2020,$263.76,16312760,$259.75,$264.62,$259.1488
10/07/2020,$258.12,23133420,$259.21,$260.18,$254.82
10/06/2020,$258.66,18696920,$261.78,$265.69,$258.24
10/05/2020,$264.65,12822250,$262.2,$264.865,$260.8401
10/02/2020,$259.94,16367600,$261.21,$265.15,$259.18
10/01/2020,$266.63,20009800,$265.35,$268.33,$264.8
09/30/2020,$261.9,20142550,$261.98,$266.085,$260.1
09/29/2020,$261.79,20215500,$257.81,$263.33,$256.9
09/28/2020,$256.82,18826250,$259.4,$259.6,$254.8208
09/25/2020,$254.82,18351310,$249.4,$255.75,$246.61
09/24/2020,$249.53,20006750,$246.5,$252.24,$245.62
09/23/2020,$249.02,19641270,$255.26,$257.9921,$248.15
09/22/2020,$254.75,30293100,$253.31,$255.32,$248.22
09/21/2020,$248.15,24709380,$247.54,$249.95,$244.13
