Date,Close/Last,Volume,Open,High,Low
09/03/2021,$2874.79,992718,$2861.61,$2883.1,$2848.01
09/02/2021,$2865.74,1617907,$2904.32,$2910.385,$2863.695
09/01/2021,$2904.31,1096805,$2900,$2925.075,$2897.67
08/31/2021,$2893.95,1122438,$2902.94,$2903.425,$2885.62
08/30/2021,$2891.81,1221710,$2888,$2919.41,$2883.26
08/27/2021,$2880.08,1439010,$2833.05,$2890.25,$2829.94
08/26/2021,$2828.81,1030466,$2835,$2848.35,$2827.14
08/25/2021,$2841.58,792574,$2832.5,$2843.7897,$2827.52
08/24/2021,$2825.23,963361,$2812.23,$2841.6,$2806.77
08/23/2021,$2800.83,1422670,$2759.39,$2817.49,$2752.15
08/20/2021,$2748.59,1559658,$2720,$2751.08,$2705
08/19/2021,$2713.6,1089127,$2688.71,$2727.05,$2685
08/18/2021,$2708.98,962947,$2730,$2742.085,$2706.43
08/17/2021,$2733.23,1085760,$2755,$2765.31,$2721.64
08/16/2021,$2766.19,1119918,$2750.498,$2767.25,$2705.975
08/13/2021,$2754.55,797372,$2745,$2757.13,$2740.66
08/12/2021,$2743.88,825943,$2719.51,$2746,$2708.51
08/11/2021,$2725.58,767600,$2743.63,$2753.645,$2725.43
08/10/2021,$2736.14,970704,$2746.84,$2755.4461,$2727.29
08/09/2021,$2738.26,888300,$2718.85,$2743.68,$2706.785
08/06/2021,$2714.77,1024406,$2720.84,$2729.45,$2704.2
08/05/2021,$2725.03,893450,$2713.61,$2727,$2696.92
08/04/2021,$2702.51,983801,$2706.99,$2712.99,$2689.74
08/03/2021,$2712.6,1038094,$2702.7,$2714.64,$2666.39
08/02/2021,$2697.09,1081710,$2702.34,$2706.73,$2675.8828
07/30/2021,$2694.53,1278789,$2700.7,$2706.09,$2685.1
07/29/2021,$2715.55,1585786,$2723,$2733.2203,$2710.86
07/28/2021,$2721.88,4756530,$2726.239,$2765.94,$2705.55
07/27/2021,$2638,2735474,$2685.01,$2687.98,$2602.08
07/26/2021,$2680.7,1528574,$2666.565,$2684.74,$2646.03
07/23/2021,$2660.3,2075321,$2608.61,$2667.9799,$2596.01
07/22/2021,$2568.43,715094,$2556.88,$2569.66,$2549.9769
07/21/2021,$2550.98,1037309,$2522.67,$2551.92,$2520.47
07/20/2021,$2524.19,1315822,$2510.55,$2540.8636,$2487.01
07/19/2021,$2491.56,1398379,$2521.79,$2524.1,$2470.1
07/16/2021,$2539.4,1021227,$2553.26,$2556.23,$2523.07
07/15/2021,$2540.1,1210940,$2572.98,$2574,$2530.6
07/14/2021,$2564.74,1187283,$2559.16,$2586.5266,$2558.2892
07/13/2021,$2546.83,962347,$2540.77,$2561.15,$2533.49
