date,Tmax,Tmin,precip,snowfall,snowdepth
2011-01-01,41,14,0.0001,0.0001,0
2011-01-02,24,12,0.00,0.0,0
2011-01-03,36,22,0.00,0.0,0
2011-01-04,30,13,0.00,0.0,0
2011-01-05,31,8,0.0001,0.0001,0
2011-01-06,28,18,0.0001,0.0001,0
2011-01-07,22,12,0.02,0.6,0
2011-01-08,24,9,0.0001,0.0001,0
2011-01-09,31,9,0.00,0.0,0
2011-01-10,33,18,0.00,0.0,0
2011-01-11,27,22,0.31,5.9,0
2011-01-12,26,20,0.0001,0.0001,4
2011-01-13,24,15,0.0001,0.0001,3
2011-01-14,24,16,0.01,0.1,2
2011-01-15,24,13,0.0001,0.0001,2
2011-01-16,22,6,0.0001,0.0001,2
2011-01-17,32,18,0.31,0.9,2
2011-01-18,32,19,0.10,0.3,2
2011-01-19,23,15,0.0001,0.0001,2
2011-01-20,19,5,0.0001,0.0001,2
2011-01-21,8,-4,0.00,0.0,1
2011-01-22,17,5,0.01,0.7,2
2011-01-23,20,4,0.01,0.3,M
2011-01-24,27,15,0.03,M,M
2011-01-25,29,21,0.0001,0.0001,2
2011-01-26,28,18,0.0001,0.2,2
2011-01-27,25,17,0.03,0.6,2
2011-01-28,31,19,0.0001,0.0001,2
2011-01-29,33,26,0.0001,0.0001,2
2011-01-30,30,26,0.0001,0.0001,2
2011-01-31,26,20,0.09,1.0,2
2011-02-01,23,20,0.74,13.6,3
2011-02-02,23,5,0.74,6.6,15
2011-02-03,16,-6,0.00,0.0,18
2011-02-04,25,5,0.00,0.0,17
2011-02-05,28,4,0.00,0.0,17
2011-02-06,32,24,0.20,2.6,17
2011-02-07,32,19,0.13,3.2,19
2011-02-08,20,2,0.0001,0.1,21
2011-02-09,12,-2,0.00,0.0,19
2011-02-10,16,-9,0.00,0.0,18
2011-02-11,30,5,0.0001,0.0001,18
2011-02-12,37,24,0.0001,0.0001,17
2011-02-13,45,32,0.00,0.0,16
2011-02-14,42,26,0.00,0.0,14
2011-02-15,38,23,0.0001,0.0,10
2011-02-16,49,37,0.00,0.0,8
2011-02-17,56,47,0.00,0.0,4
2011-02-18,50,33,0.00,0.0,0
2011-02-19,35,25,0.00,0.0,0
2011-02-20,36,28,0.95,0.0001,0
2011-02-21,33,25,0.0001,0.0001,0
